car_ID,symboling,CarName,doornumber,carbody,drivewheel,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price,brand,fueltype_gas,aspiration_std,enginelocation_front,fuelsystem_injection
35,1,honda civic cvcc,2,1,1,93.7,150.0,64.0,52.6,1956,1,4,92,2.91,3.41,9.2,76,6000,30,34,7129.0,honda,1,1,1,0
36,0,honda accord lx,4,2,1,96.5,163.4,64.0,54.5,2010,1,4,92,2.91,3.41,9.2,76,6000,30,34,7295.0,honda,1,1,1,0
37,0,honda civic 1500 gl,4,3,1,96.5,157.1,63.9,58.3,2024,1,4,92,2.92,3.41,9.2,76,6000,30,34,7295.0,honda,1,1,1,0
38,0,honda accord,2,1,1,96.5,167.5,65.2,53.3,2236,1,4,110,3.15,3.58,9.0,86,5800,27,33,7895.0,honda,1,1,1,0
39,0,honda civic 1300,2,1,1,96.5,167.5,65.2,53.3,2289,1,4,110,3.15,3.58,9.0,86,5800,27,33,9095.0,honda,1,1,1,0
40,0,honda prelude,4,2,1,96.5,175.4,65.2,54.1,2304,1,4,110,3.15,3.58,9.0,86,5800,27,33,8845.0,honda,1,1,1,0
41,0,honda accord,4,2,1,96.5,175.4,62.5,54.1,2372,1,4,110,3.15,3.58,9.0,86,5800,27,33,10295.0,honda,1,1,1,0
42,0,honda civic,4,2,1,96.5,175.4,65.2,54.1,2465,1,4,110,3.15,3.58,9.0,101,5800,24,28,12945.0,honda,1,1,1,1
43,1,honda civic (auto),2,2,1,96.5,169.1,66.0,51.0,2293,1,4,110,3.15,3.58,9.1,100,5500,25,31,10345.0,honda,1,1,1,0
44,0,isuzu MU-X,4,2,0,94.3,170.7,61.8,53.5,2337,1,4,111,3.31,3.23,8.5,78,4800,24,29,6785.0,isuzu,1,1,1,0
45,1,isuzu D-Max ,2,2,1,94.5,155.9,63.6,52.0,1874,1,4,90,3.03,3.11,9.6,70,5400,38,43,8916.5,isuzu,1,1,1,0
46,0,isuzu D-Max V-Cross,4,2,1,94.5,155.9,63.6,52.0,1909,1,4,90,3.03,3.11,9.6,70,5400,38,43,8916.5,isuzu,1,1,1,0
47,2,isuzu D-Max ,2,1,0,96.0,172.6,65.2,51.4,2734,1,4,119,3.43,3.23,9.2,90,5000,24,29,11048.0,isuzu,1,1,1,1
48,0,jaguar xj,4,2,0,113.0,199.6,69.6,52.8,4066,0,6,258,3.63,4.17,8.1,176,4750,15,19,32250.0,jaguar,1,1,1,1
49,0,jaguar xf,4,2,0,113.0,199.6,69.6,52.8,4066,0,6,258,3.63,4.17,8.1,176,4750,15,19,35550.0,jaguar,1,1,1,1
50,0,jaguar xk,2,2,0,102.0,191.7,70.6,47.8,3950,1,12,326,3.54,2.76,11.5,262,5000,13,17,36000.0,jaguar,1,1,1,1
51,1,maxda rx3,2,1,1,93.1,159.1,64.2,54.1,1890,1,4,91,3.03,3.15,9.0,68,5000,30,31,5195.0,mazda,1,1,1,0
52,1,maxda glc deluxe,2,1,1,93.1,159.1,64.2,54.1,1900,1,4,91,3.03,3.15,9.0,68,5000,31,38,6095.0,mazda,1,1,1,0
53,1,mazda rx2 coupe,2,1,1,93.1,159.1,64.2,54.1,1905,1,4,91,3.03,3.15,9.0,68,5000,31,38,6795.0,mazda,1,1,1,0
54,1,mazda rx-4,4,2,1,93.1,166.8,64.2,54.1,1945,1,4,91,3.03,3.15,9.0,68,5000,31,38,6695.0,mazda,1,1,1,0
55,1,mazda glc deluxe,4,2,1,93.1,166.8,64.2,54.1,1950,1,4,91,3.08,3.15,9.0,68,5000,31,38,7395.0,mazda,1,1,1,0
56,3,mazda 626,2,1,0,95.3,169.0,65.7,49.6,2380,3,2,70,3.33,3.255,9.4,101,6000,17,23,10945.0,mazda,1,1,1,0
57,3,mazda glc,2,1,0,95.3,169.0,65.7,49.6,2380,3,2,70,3.33,3.255,9.4,101,6000,17,23,11845.0,mazda,1,1,1,0
58,3,mazda rx-7 gs,2,1,0,95.3,169.0,65.7,49.6,2385,3,2,70,3.33,3.255,9.4,101,6000,17,23,13645.0,mazda,1,1,1,0
59,3,mazda glc 4,2,1,0,95.3,169.0,65.7,49.6,2500,3,2,80,3.33,3.255,9.4,135,6000,16,23,15645.0,mazda,1,1,1,1
60,1,mazda 626,2,1,1,98.8,177.8,66.5,53.7,2385,1,4,122,3.39,3.39,8.6,84,4800,26,32,8845.0,mazda,1,1,1,0
61,0,mazda glc custom l,4,2,1,98.8,177.8,66.5,55.5,2410,1,4,122,3.39,3.39,8.6,84,4800,26,32,8495.0,mazda,1,1,1,0
62,1,mazda glc custom,2,1,1,98.8,177.8,66.5,53.7,2385,1,4,122,3.39,3.39,8.6,84,4800,26,32,10595.0,mazda,1,1,1,0
63,0,mazda rx-4,4,2,1,98.8,177.8,66.5,55.5,2410,1,4,122,3.39,3.39,8.6,84,4800,26,32,10245.0,mazda,1,1,1,0
64,0,mazda glc deluxe,4,2,1,98.8,177.8,66.5,55.5,2443,1,4,122,3.39,3.39,22.7,64,4650,36,42,10795.0,mazda,0,1,1,1
65,0,mazda 626,4,1,1,98.8,177.8,66.5,55.5,2425,1,4,122,3.39,3.39,8.6,84,4800,26,32,11245.0,mazda,1,1,1,0
66,0,mazda glc,4,2,0,104.9,175.0,66.1,54.4,2670,1,4,140,3.76,3.16,8.0,120,5000,19,27,18280.0,mazda,1,1,1,1
67,0,mazda rx-7 gs,4,2,0,104.9,175.0,66.1,54.4,2700,1,4,134,3.43,3.64,22.0,72,4200,31,39,18344.0,mazda,0,1,1,1
68,-1,buick electra 225 custom,4,2,0,110.0,190.9,70.3,56.5,3515,1,5,183,3.58,3.64,21.5,123,4350,22,25,25552.0,buick,0,0,1,1
69,-1,buick century luxus (sw),4,3,0,110.0,190.9,70.3,58.7,3750,1,5,183,3.58,3.64,21.5,123,4350,22,25,28248.0,buick,0,0,1,1
70,0,buick century,2,4,0,106.7,187.5,70.3,54.9,3495,1,5,183,3.58,3.64,21.5,123,4350,22,25,28176.0,buick,0,0,1,1
71,-1,buick skyhawk,4,2,0,115.6,202.6,71.7,56.3,3770,1,5,183,3.58,3.64,21.5,123,4350,22,25,31600.0,buick,0,0,1,1
72,-1,buick opel isuzu deluxe,4,2,0,115.6,202.6,71.7,56.5,3740,1,8,234,3.46,3.1,8.3,155,4750,16,18,34184.0,buick,1,1,1,1
73,3,buick skylark,2,0,0,96.6,180.3,70.5,50.8,3685,1,8,234,3.46,3.1,8.3,155,4750,16,18,35056.0,buick,1,1,1,1
74,0,buick century special,4,2,0,120.9,208.1,71.7,56.7,3900,1,8,308,3.8,3.35,8.0,184,4500,14,16,40960.0,buick,1,1,1,1
75,1,buick regal sport coupe (turbo),2,4,0,112.0,199.2,72.0,55.4,3715,1,8,304,3.8,3.35,8.0,184,4500,14,16,45400.0,buick,1,1,1,1
76,1,mercury cougar,2,1,0,102.7,178.4,68.0,54.8,2910,1,4,140,3.78,3.12,8.0,175,5000,19,24,16503.0,mercury,1,0,1,1
77,2,mitsubishi mirage,2,1,1,93.7,157.3,64.4,50.8,1918,1,4,92,2.97,3.23,9.4,68,5500,37,41,5389.0,mitsubishi,1,1,1,0
78,2,mitsubishi lancer,2,1,1,93.7,157.3,64.4,50.8,1944,1,4,92,2.97,3.23,9.4,68,5500,31,38,6189.0,mitsubishi,1,1,1,0
79,2,mitsubishi outlander,2,1,1,93.7,157.3,64.4,50.8,2004,1,4,92,2.97,3.23,9.4,68,5500,31,38,6669.0,mitsubishi,1,1,1,0
80,1,mitsubishi g4,2,1,1,93.0,157.3,63.8,50.8,2145,1,4,98,3.03,3.39,7.6,102,5500,24,30,7689.0,mitsubishi,1,0,1,1
81,3,mitsubishi mirage g4,2,1,1,96.3,173.0,65.4,49.4,2370,1,4,110,3.17,3.46,7.5,116,5500,23,30,9959.0,mitsubishi,1,0,1,1
82,3,mitsubishi g4,2,1,1,96.3,173.0,65.4,49.4,2328,1,4,122,3.35,3.46,8.5,88,5000,25,32,8499.0,mitsubishi,1,1,1,0
83,3,mitsubishi outlander,2,1,1,95.9,173.2,66.3,50.2,2833,1,4,156,3.58,3.86,7.0,145,5000,19,24,12629.0,mitsubishi,1,0,1,1
84,3,mitsubishi g4,2,1,1,95.9,173.2,66.3,50.2,2921,1,4,156,3.59,3.86,7.0,145,5000,19,24,14869.0,mitsubishi,1,0,1,1
85,3,mitsubishi mirage g4,2,1,1,95.9,173.2,66.3,50.2,2926,1,4,156,3.59,3.86,7.0,145,5000,19,24,14489.0,mitsubishi,1,0,1,1
86,1,mitsubishi montero,4,2,1,96.3,172.4,65.4,51.6,2365,1,4,122,3.35,3.46,8.5,88,5000,25,32,6989.0,mitsubishi,1,1,1,0
87,1,mitsubishi pajero,4,2,1,96.3,172.4,65.4,51.6,2405,1,4,122,3.35,3.46,8.5,88,5000,25,32,8189.0,mitsubishi,1,1,1,0
88,1,mitsubishi outlander,4,2,1,96.3,172.4,65.4,51.6,2403,1,4,110,3.17,3.46,7.5,116,5500,23,30,9279.0,mitsubishi,1,0,1,1
89,-1,mitsubishi mirage g4,4,2,1,96.3,172.4,65.4,51.6,2403,1,4,110,3.17,3.46,7.5,116,5500,23,30,9279.0,mitsubishi,1,1,1,1
90,1,Nissan versa,2,2,1,94.5,165.3,63.8,54.5,1889,1,4,97,3.15,3.29,9.4,69,5200,31,37,5499.0,nissan,1,1,1,0
91,1,nissan gt-r,2,2,1,94.5,165.3,63.8,54.5,2017,1,4,103,2.99,3.47,21.9,55,4800,45,50,7099.0,nissan,0,1,1,1
92,1,nissan rogue,2,2,1,94.5,165.3,63.8,54.5,1918,1,4,97,3.15,3.29,9.4,69,5200,31,37,6649.0,nissan,1,1,1,0
93,1,nissan latio,4,2,1,94.5,165.3,63.8,54.5,1938,1,4,97,3.15,3.29,9.4,69,5200,31,37,6849.0,nissan,1,1,1,0
94,1,nissan titan,4,3,1,94.5,170.2,63.8,53.5,2024,1,4,97,3.15,3.29,9.4,69,5200,31,37,7349.0,nissan,1,1,1,0
95,1,nissan leaf,2,2,1,94.5,165.3,63.8,54.5,1951,1,4,97,3.15,3.29,9.4,69,5200,31,37,7299.0,nissan,1,1,1,0
96,1,nissan juke,2,1,1,94.5,165.6,63.8,53.3,2028,1,4,97,3.15,3.29,9.4,69,5200,31,37,7799.0,nissan,1,1,1,0
97,1,nissan latio,4,2,1,94.5,165.3,63.8,54.5,1971,1,4,97,3.15,3.29,9.4,69,5200,31,37,7499.0,nissan,1,1,1,0
98,1,nissan note,4,3,1,94.5,170.2,63.8,53.5,2037,1,4,97,3.15,3.29,9.4,69,5200,31,37,7999.0,nissan,1,1,1,0
99,2,nissan clipper,2,4,1,95.1,162.4,63.8,53.3,2008,1,4,97,3.15,3.29,9.4,69,5200,31,37,8249.0,nissan,1,1,1,0
100,0,nissan rogue,4,1,1,97.2,173.4,65.2,54.7,2324,1,4,120,3.33,3.47,8.5,97,5200,27,34,8949.0,nissan,1,1,1,0
101,0,nissan nv200,4,2,1,97.2,173.4,65.2,54.7,2302,1,4,120,3.33,3.47,8.5,97,5200,27,34,9549.0,nissan,1,1,1,0
102,0,nissan dayz,4,2,1,100.4,181.7,66.5,55.1,3095,1,6,181,3.43,3.27,9.0,152,5200,17,22,13499.0,nissan,1,1,1,1
103,0,nissan fuga,4,3,1,100.4,184.6,66.5,56.1,3296,1,6,181,3.43,3.27,9.0,152,5200,17,22,14399.0,nissan,1,1,1,1
104,0,nissan otti,4,2,1,100.4,184.6,66.5,55.1,3060,1,6,181,3.43,3.27,9.0,152,5200,19,25,13499.0,nissan,1,1,1,1
105,3,nissan teana,2,1,0,91.3,170.7,67.9,49.7,3071,1,6,181,3.43,3.27,9.0,160,5200,19,25,17199.0,nissan,1,1,1,1
106,3,nissan kicks,2,1,0,91.3,170.7,67.9,49.7,3139,1,6,181,3.43,3.27,7.8,200,5200,17,23,19699.0,nissan,1,0,1,1
107,1,nissan clipper,2,1,0,99.2,178.5,67.9,49.7,3139,1,6,181,3.43,3.27,9.0,160,5200,19,25,18399.0,nissan,1,1,1,1
108,0,peugeot 504,4,2,0,107.9,186.7,68.4,56.7,3020,2,4,120,3.46,3.19,8.4,97,5000,19,24,11900.0,peugeot,1,1,1,1
109,0,peugeot 304,4,2,0,107.9,186.7,68.4,56.7,3197,2,4,152,3.7,3.52,21.0,95,4150,28,33,13200.0,peugeot,0,0,1,1
110,0,peugeot 504 (sw),4,3,0,114.2,198.9,68.4,58.7,3230,2,4,120,3.46,3.19,8.4,97,5000,19,24,12440.0,peugeot,1,1,1,1
111,0,peugeot 504,4,3,0,114.2,198.9,68.4,58.7,3430,2,4,152,3.7,3.52,21.0,95,4150,25,25,13860.0,peugeot,0,0,1,1
112,0,peugeot 504,4,2,0,107.9,186.7,68.4,56.7,3075,2,4,120,3.46,2.19,8.4,95,5000,19,24,15580.0,peugeot,1,1,1,1
113,0,peugeot 604sl,4,2,0,107.9,186.7,68.4,56.7,3252,2,4,152,3.7,3.52,21.0,95,4150,28,33,16900.0,peugeot,0,0,1,1
114,0,peugeot 504,4,3,0,114.2,198.9,68.4,56.7,3285,2,4,120,3.46,2.19,8.4,95,5000,19,24,16695.0,peugeot,1,1,1,1
115,0,peugeot 505s turbo diesel,4,3,0,114.2,198.9,68.4,58.7,3485,2,4,152,3.7,3.52,21.0,95,4150,25,25,17075.0,peugeot,0,0,1,1
116,0,peugeot 504,4,2,0,107.9,186.7,68.4,56.7,3075,2,4,120,3.46,3.19,8.4,97,5000,19,24,16630.0,peugeot,1,1,1,1
117,0,peugeot 504,4,2,0,107.9,186.7,68.4,56.7,3252,2,4,152,3.7,3.52,21.0,95,4150,28,33,17950.0,peugeot,0,0,1,1
118,0,peugeot 604sl,4,2,0,108.0,186.7,68.3,56.0,3130,2,4,134,3.61,3.21,7.0,142,5600,18,24,18150.0,peugeot,1,0,1,1
119,1,plymouth fury iii,2,1,1,93.7,157.3,63.8,50.8,1918,1,4,90,2.97,3.23,9.4,68,5500,37,41,5572.0,plymouth,1,1,1,0
120,1,plymouth cricket,2,1,1,93.7,157.3,63.8,50.8,2128,1,4,98,3.03,3.39,7.6,102,5500,24,30,7957.0,plymouth,1,0,1,1
121,1,plymouth fury iii,4,1,1,93.7,157.3,63.8,50.6,1967,1,4,90,2.97,3.23,9.4,68,5500,31,38,6229.0,plymouth,1,1,1,0
122,1,plymouth satellite custom (sw),4,2,1,93.7,167.3,63.8,50.8,1989,1,4,90,2.97,3.23,9.4,68,5500,31,38,6692.0,plymouth,1,1,1,0
123,1,plymouth fury gran sedan,4,2,1,93.7,167.3,63.8,50.8,2191,1,4,98,2.97,3.23,9.4,68,5500,31,38,7609.0,plymouth,1,1,1,0
124,-1,plymouth valiant,4,3,1,103.3,174.6,64.6,59.8,2535,1,4,122,3.35,3.46,8.5,88,5000,24,30,8921.0,plymouth,1,1,1,0
125,3,plymouth duster,2,1,0,95.9,173.2,66.3,50.2,2818,1,4,156,3.59,3.86,7.0,145,5000,19,24,12764.0,plymouth,1,0,1,1
126,3,porsche macan,2,1,0,94.5,168.9,68.3,50.2,2778,1,4,151,3.94,3.11,9.5,143,5500,19,27,22018.0,porsche,1,1,1,1
127,3,porcshce panamera,2,4,0,89.5,168.9,65.0,51.6,2756,1,6,194,3.74,2.9,9.5,207,5900,17,25,32528.0,porsche,1,1,0,1
128,3,porsche cayenne,2,4,0,89.5,168.9,65.0,51.6,2756,1,6,194,3.74,2.9,9.5,207,5900,17,25,34028.0,porsche,1,1,0,1
129,3,porsche boxter,2,0,0,89.5,168.9,65.0,51.6,2800,1,6,194,3.74,2.9,9.5,207,5900,17,25,37028.0,porsche,1,1,0,1
130,1,porsche cayenne,2,1,0,98.4,175.7,72.3,50.5,3366,0,8,203,3.94,3.11,10.0,288,5750,17,28,31400.5,porsche,1,1,1,1
131,0,renault 12tl,4,3,1,96.1,181.5,66.5,55.2,2579,1,4,132,3.46,3.9,8.7,90,5100,23,31,9295.0,renault,1,1,1,1
132,2,renault 5 gtl,2,1,1,96.1,176.8,66.6,50.5,2460,1,4,132,3.46,3.9,8.7,90,5100,23,31,9895.0,renault,1,1,1,1
133,3,saab 99e,2,1,1,99.1,186.6,66.5,56.1,2658,1,4,121,3.54,3.07,9.31,110,5250,21,28,11850.0,saab,1,1,1,1
134,2,saab 99le,4,2,1,99.1,186.6,66.5,56.1,2695,1,4,121,3.54,3.07,9.3,110,5250,21,28,12170.0,saab,1,1,1,1
135,3,saab 99le,2,1,1,99.1,186.6,66.5,56.1,2707,1,4,121,2.54,2.07,9.3,110,5250,21,28,15040.0,saab,1,1,1,1
136,2,saab 99gle,4,2,1,99.1,186.6,66.5,56.1,2758,1,4,121,3.54,3.07,9.3,110,5250,21,28,15510.0,saab,1,1,1,1
137,3,saab 99gle,2,1,1,99.1,186.6,66.5,56.1,2808,0,4,121,3.54,3.07,9.0,160,5500,19,26,18150.0,saab,1,0,1,1
138,2,saab 99e,4,2,1,99.1,186.6,66.5,56.1,2847,0,4,121,3.54,3.07,9.0,160,5500,19,26,18620.0,saab,1,0,1,1
139,2,subaru,2,1,1,93.7,156.9,63.4,53.7,2050,1,4,97,3.62,2.36,9.0,69,4900,31,36,5118.0,subaru,1,1,1,0
140,2,subaru dl,2,1,1,93.7,157.9,63.6,53.7,2120,1,4,108,3.62,2.64,8.7,73,4400,26,31,7053.0,subaru,1,1,1,0
141,2,subaru dl,2,1,2,93.3,157.3,63.8,55.7,2240,1,4,108,3.62,2.64,8.7,73,4400,26,31,7603.0,subaru,1,1,1,0
142,0,subaru,4,2,1,97.2,172.0,65.4,52.5,2145,1,4,108,3.62,2.64,9.5,82,4800,32,37,7126.0,subaru,1,1,1,0
143,0,subaru brz,4,2,1,97.2,172.0,65.4,52.5,2190,1,4,108,3.62,2.64,9.5,82,4400,28,33,7775.0,subaru,1,1,1,0
144,0,subaru baja,4,2,1,97.2,172.0,65.4,52.5,2340,1,4,108,3.62,2.64,9.0,94,5200,26,32,9960.0,subaru,1,1,1,1
145,0,subaru r1,4,2,2,97.0,172.0,65.4,54.3,2385,1,4,108,3.62,2.64,9.0,82,4800,24,25,9233.0,subaru,1,1,1,0
146,0,subaru r2,4,2,2,97.0,172.0,65.4,54.3,2510,1,4,108,3.62,2.64,7.7,111,4800,24,29,11259.0,subaru,1,0,1,1
147,0,subaru trezia,4,3,1,97.0,173.5,65.4,53.0,2290,1,4,108,3.62,2.64,9.0,82,4800,28,32,7463.0,subaru,1,1,1,0
148,0,subaru tribeca,4,3,1,97.0,173.5,65.4,53.0,2455,1,4,108,3.62,2.64,9.0,94,5200,25,31,10198.0,subaru,1,1,1,1
149,0,subaru dl,4,3,2,96.9,173.6,65.4,54.9,2420,1,4,108,3.62,2.64,9.0,82,4800,23,29,8013.0,subaru,1,1,1,0
150,0,subaru dl,4,3,2,96.9,173.6,65.4,54.9,2650,1,4,108,3.62,2.64,7.7,111,4800,23,23,11694.0,subaru,1,0,1,1
151,1,toyota corona mark ii,2,1,1,95.7,158.7,63.6,54.5,1985,1,4,92,3.05,3.03,9.0,62,4800,35,39,5348.0,toyota,1,1,1,0
152,1,toyota corona,2,1,1,95.7,158.7,63.6,54.5,2040,1,4,92,3.05,3.03,9.0,62,4800,31,38,6338.0,toyota,1,1,1,0
153,1,toyota corolla 1200,4,1,1,95.7,158.7,63.6,54.5,2015,1,4,92,3.05,3.03,9.0,62,4800,31,38,6488.0,toyota,1,1,1,0
154,0,toyota corona hardtop,4,3,1,95.7,169.7,63.6,59.1,2280,1,4,92,3.05,3.03,9.0,62,4800,31,37,6918.0,toyota,1,1,1,0
155,0,toyota corolla 1600 (sw),4,3,2,95.7,169.7,63.6,59.1,2290,1,4,92,3.05,3.03,9.0,62,4800,27,32,7898.0,toyota,1,1,1,0
156,0,toyota carina,4,3,2,95.7,169.7,63.6,59.1,3110,1,4,92,3.05,3.03,9.0,62,4800,27,32,8778.0,toyota,1,1,1,0
157,0,toyota mark ii,4,2,1,95.7,166.3,64.4,53.0,2081,1,4,98,3.19,3.03,9.0,70,4800,30,37,6938.0,toyota,1,1,1,0
158,0,toyota corolla 1200,4,1,1,95.7,166.3,64.4,52.8,2109,1,4,98,3.19,3.03,9.0,70,4800,30,37,7198.0,toyota,1,1,1,0
159,0,toyota corona,4,2,1,95.7,166.3,64.4,53.0,2275,1,4,110,3.27,3.35,22.5,56,4500,34,36,7898.0,toyota,0,1,1,1
160,0,toyota corolla,4,1,1,95.7,166.3,64.4,52.8,2275,1,4,110,3.27,3.35,22.5,56,4500,38,47,7788.0,toyota,0,1,1,1
161,0,toyota corona,4,2,1,95.7,166.3,64.4,53.0,2094,1,4,98,3.19,3.03,9.0,70,4800,38,47,7738.0,toyota,1,1,1,0
162,0,toyota corolla,4,1,1,95.7,166.3,64.4,52.8,2122,1,4,98,3.19,3.03,9.0,70,4800,28,34,8358.0,toyota,1,1,1,0
163,0,toyota mark ii,4,2,1,95.7,166.3,64.4,52.8,2140,1,4,98,3.19,3.03,9.0,70,4800,28,34,9258.0,toyota,1,1,1,0
164,1,toyota corolla liftback,2,2,0,94.5,168.7,64.0,52.6,2169,1,4,98,3.19,3.03,9.0,70,4800,29,34,8058.0,toyota,1,1,1,0
165,1,toyota corona,2,1,0,94.5,168.7,64.0,52.6,2204,1,4,98,3.19,3.03,9.0,70,4800,29,34,8238.0,toyota,1,1,1,0
166,1,toyota celica gt liftback,2,2,0,94.5,168.7,64.0,52.6,2265,0,4,98,3.24,3.08,9.4,112,6600,26,29,9298.0,toyota,1,1,1,1
167,1,toyota corolla tercel,2,1,0,94.5,168.7,64.0,52.6,2300,0,4,98,3.24,3.08,9.4,112,6600,26,29,9538.0,toyota,1,1,1,1
168,2,toyota corona liftback,2,4,0,98.4,176.2,65.6,52.0,2540,1,4,146,3.62,3.5,9.3,116,4800,24,30,8449.0,toyota,1,1,1,1
